Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-81rl,checkpoint-ciwr,checkpoint-77l8,checkpoint-x76j,checkpoint-b2g1,checkpoint-5gtg,checkpoint-dxsu,checkpoint-w6lf,checkpoint-hoqr,checkpoint-miih,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,Diagram Box Rows,Diagram Box Require Response,TextTypes,ToetsTextArea,"# Xof6Trials

Your body text here."
18,1673336426285,10/01/2023 07:40:26,1673336463282,1,10/01/2023 08:41:03,89483,9,task-axm2,,26286951,BLIND,7759618,,complete,,,computer,Desktop or Laptop,Windows 10,Opera 93.0.0.0,1366x768,1325x696,Passed_Trials,Study1.2 - ImmediateWithCueSelection,11,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,ImmediateWithCueSelection,ImmediateWithCueSelection,8,1,1,Test,buttonA,response_text_area,47110.700000047684,,,"De troep van de metrowagons is in een keer weg
er is een kunstmatig rif op gemaakt
het maakt het rif veel groter
het trekt ook andere dieren weer aan",,0,1,0,,,,1,,MetroTest,,,,,8,
19,1673336426349,10/01/2023 07:40:26,1673336463285,1,10/01/2023 08:41:03,89483,9,task-axm2,,26286951,BLIND,7759618,,complete,,,computer,Desktop or Laptop,Windows 10,Opera 93.0.0.0,1366x768,1325x696,Passed_Trials,Study1.2 - ImmediateWithCueSelection,11,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,ImmediateWithCueSelection,ImmediateWithCueSelection,8,1,1,Test,buttonB,continue_button,47110.700000047684,,,,,0,1,0,,,,1,,MetroTest,,,,,8,
20,1673336430277,10/01/2023 07:40:30,1673336467336,1,10/01/2023 08:41:07,89483,9,task-axm2,,26286951,BLIND,7759618,,complete,,,computer,Desktop or Laptop,Windows 10,Opera 93.0.0.0,1366x768,1325x696,Passed_Trials,Study1.2 - ImmediateWithCueSelection,11,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,ImmediateWithCueSelection,ImmediateWithCueSelection,9,1,1,Notification,ContinueButton,continue_button,4020.7000000476837,,,,,0,1,0,,,,,,InBetweenScreen,,,,,,"<center><p style=""font-size:30px""><b>1 van 6</b></p></center>"
21,1673336482834,10/01/2023 07:41:22,1673336519843,1,10/01/2023 08:41:59,89483,9,task-axm2,,26286951,BLIND,7759618,,complete,,,computer,Desktop or Laptop,Windows 10,Opera 93.0.0.0,1366x768,1325x696,Passed_Trials,Study1.2 - ImmediateWithCueSelection,11,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,ImmediateWithCueSelection,ImmediateWithCueSelection,26,1,1,Text,advancementZone,continue_button,52464.699999809265,,,,,0,1,0,,,,4,,SuezText,,,,,,
22,1673336523873,10/01/2023 07:42:03,1673336560880,1,10/01/2023 08:42:40,89483,9,task-axm2,,26286951,BLIND,7759618,,complete,,,computer,Desktop or Laptop,Windows 10,Opera 93.0.0.0,1366x768,1325x696,Passed_Trials,Study1.2 - ImmediateWithCueSelection,11,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,ImmediateWithCueSelection,ImmediateWithCueSelection,27,1,1,Diagramming,DiagBox2,response_text_area,41002.5,,,het werd door een duitse man bedacht,,0,1,0,,,,4,,SuezDiagramCompletion,,5,,,,
23,1673336524084,10/01/2023 07:42:04,1673336560883,1,10/01/2023 08:42:40,89483,9,task-axm2,,26286951,BLIND,7759618,,complete,,,computer,Desktop or Laptop,Windows 10,Opera 93.0.0.0,1366x768,1325x696,Passed_Trials,Study1.2 - ImmediateWithCueSelection,11,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,ImmediateWithCueSelection,ImmediateWithCueSelection,27,1,1,Diagramming,DiagBox3,response_text_area,41002.5,,,jaren lang ik gegraven,,0,1,0,,,,4,,SuezDiagramCompletion,,5,,,,
24,1673336524084,10/01/2023 07:42:04,1673336560884,1,10/01/2023 08:42:40,89483,9,task-axm2,,26286951,BLIND,7759618,,complete,,,computer,Desktop or Laptop,Windows 10,Opera 93.0.0.0,1366x768,1325x696,Passed_Trials,Study1.2 - ImmediateWithCueSelection,11,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,ImmediateWithCueSelection,ImmediateWithCueSelection,27,1,1,Diagramming,DiagBox4,response_text_area,41002.5,,,de afstand is nu 40% korter,,0,1,0,,,,4,,SuezDiagramCompletion,,5,,,,
25,1673336524084,10/01/2023 07:42:04,1673336560884,1,10/01/2023 08:42:40,89483,9,task-axm2,,26286951,BLIND,7759618,,complete,,,computer,Desktop or Laptop,Windows 10,Opera 93.0.0.0,1366x768,1325x696,Passed_Trials,Study1.2 - ImmediateWithCueSelection,11,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,ImmediateWithCueSelection,ImmediateWithCueSelection,27,1,1,Diagramming,DiagBox1,response_text_area,41002.5,,,er was eerst geen connectie ,,0,1,0,,,,4,,SuezDiagramCompletion,,5,,,,
26,1673336524084,10/01/2023 07:42:04,1673336560884,1,10/01/2023 08:42:40,89483,9,task-axm2,,26286951,BLIND,7759618,,complete,,,computer,Desktop or Laptop,Windows 10,Opera 93.0.0.0,1366x768,1325x696,Passed_Trials,Study1.2 - ImmediateWithCueSelection,11,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,ImmediateWithCueSelection,ImmediateWithCueSelection,27,1,1,Diagramming,Zone1,continue_button,41002.5,,,,,0,1,0,,,,4,,SuezDiagramCompletion,,5,,,,
27,1673336547217,10/01/2023 07:42:27,1673336584217,1,10/01/2023 08:43:04,89483,9,task-axm2,,26286951,BLIND,7759618,,complete,,,computer,Desktop or Laptop,Windows 10,Opera 93.0.0.0,1366x768,1325x696,Passed_Trials,Study1.2 - ImmediateWithCueSelection,11,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,ImmediateWithCueSelection,ImmediateWithCueSelection,28,1,1,DiagramStudySS,CueSelection2,response_dropdown,23326.86600000004,,,Ingevuld maar onjuist,,0,1,0,,,,4,,SuezDiagramStudySS,,,,,,
28,1673336547275,10/01/2023 07:42:27,1673336584220,1,10/01/2023 08:43:04,89483,9,task-axm2,,26286951,BLIND,7759618,,complete,,,computer,Desktop or Laptop,Windows 10,Opera 93.0.0.0,1366x768,1325x696,Passed_Trials,Study1.2 - ImmediateWithCueSelection,11,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,ImmediateWithCueSelection,ImmediateWithCueSelection,28,1,1,DiagramStudySS,CueSelection3,response_dropdown,23326.86600000004,,,Ingevuld maar onjuist,,0,1,0,,,,4,,SuezDiagramStudySS,,,,,,
29,1673336547275,10/01/2023 07:42:27,1673336584220,1,10/01/2023 08:43:04,89483,9,task-axm2,,26286951,BLIND,7759618,,complete,,,computer,Desktop or Laptop,Windows 10,Opera 93.0.0.0,1366x768,1325x696,Passed_Trials,Study1.2 - ImmediateWithCueSelection,11,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,ImmediateWithCueSelection,ImmediateWithCueSelection,28,1,1,DiagramStudySS,CueSelection1,response_dropdown,23326.86600000004,,,Juist,,0,1,0,,,,4,,SuezDiagramStudySS,,,,,,
30,1673336547275,10/01/2023 07:42:27,1673336584221,1,10/01/2023 08:43:04,89483,9,task-axm2,,26286951,BLIND,7759618,,complete,,,computer,Desktop or Laptop,Windows 10,Opera 93.0.0.0,1366x768,1325x696,Passed_Trials,Study1.2 - ImmediateWithCueSelection,11,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,ImmediateWithCueSelection,ImmediateWithCueSelection,28,1,1,DiagramStudySS,CueSelection4,response_dropdown,23326.86600000004,,,Ingevuld maar onjuist,,0,1,0,,,,4,,SuezDiagramStudySS,,,,,,
31,1673336547275,10/01/2023 07:42:27,1673336584221,1,10/01/2023 08:43:04,89483,9,task-axm2,,26286951,BLIND,7759618,,complete,,,computer,Desktop or Laptop,Windows 10,Opera 93.0.0.0,1366x768,1325x696,Passed_Trials,Study1.2 - ImmediateWithCueSelection,11,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,ImmediateWithCueSelection,ImmediateWithCueSelection,28,1,1,DiagramStudySS,script,force_advance,23326.86600000004,,,,,0,1,0,,,,4,,SuezDiagramStudySS,,,,,,
32,1673336554244,10/01/2023 07:42:34,1673336591300,1,10/01/2023 08:43:11,89483,9,task-axm2,,26286951,BLIND,7759618,,complete,,,computer,Desktop or Laptop,Windows 10,Opera 93.0.0.0,1366x768,1325x696,Passed_Trials,Study1.2 - ImmediateWithCueSelection,11,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,ImmediateWithCueSelection,ImmediateWithCueSelection,29,1,1,RestudyDecision,Selection1,response_dropdown,7092.969999999972,,,Ja,,0,1,0,,,,4,,RestudyDecisionText2,,,,,,
33,1673336554303,10/01/2023 07:42:34,1673336591302,1,10/01/2023 08:43:11,89483,9,task-axm2,,26286951,BLIND,7759618,,complete,,,computer,Desktop or Laptop,Windows 10,Opera 93.0.0.0,1366x768,1325x696,Passed_Trials,Study1.2 - ImmediateWithCueSelection,11,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,ImmediateWithCueSelection,ImmediateWithCueSelection,29,1,1,RestudyDecision,script,force_advance,7092.969999999972,,,,,0,1,0,,,,4,,RestudyDecisionText2,,,,,,
34,1673336556093,10/01/2023 07:42:36,1673336593161,1,10/01/2023 08:43:13,89483,9,task-axm2,,26286951,BLIND,7759618,,complete,,,computer,Desktop or Laptop,Windows 10,Opera 93.0.0.0,1366x768,1325x696,Passed_Trials,Study1.2 - ImmediateWithCueSelection,11,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,ImmediateWithCueSelection,ImmediateWithCueSelection,30,1,1,JoL,One,response_button_text,1836.7999999523163,,,1,1,0,1,0,,,,4,,SuezJoL,,,,,,
