Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-81rl,checkpoint-ciwr,checkpoint-77l8,checkpoint-x76j,checkpoint-b2g1,checkpoint-5gtg,checkpoint-dxsu,checkpoint-w6lf,checkpoint-hoqr,checkpoint-miih,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,Diagram Box Rows,Diagram Box Require Response,TextTypes,ToetsTextArea,"# Xof6Trials

Your body text here."
22,1670926917837,13/12/2022 10:21:57,1670926934962,1,13/12/2022 11:22:14,89483,9,task-x2sf,,25906203,BLIND,7657611,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1366x768,1366x649,Passed_Trials,Study1.2 - ImmediateDiagrammingOnly,2,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,ImmediateDiagrammingOnly,ImmediateDiagrammingOnly,43,1,1,Diagramming,Zone1,continue_button,150433,,,,,0,1,0,,,,6,,BotoxDiagramCompletion,,5,,,,
23,1670926919074,13/12/2022 10:21:59,1670926936381,1,13/12/2022 11:22:16,89483,9,task-x2sf,,25906203,BLIND,7657611,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1366x768,1366x649,Passed_Trials,Study1.2 - ImmediateDiagrammingOnly,2,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,ImmediateDiagrammingOnly,ImmediateDiagrammingOnly,44,1,1,DiagramStudy,Zone1,continue_button,1256.1999998092651,,,,,0,1,0,,,,6,,BotoxDiagramStudy,,,,,,
24,1670926925617,13/12/2022 10:22:05,1670926942913,1,13/12/2022 11:22:22,89483,9,task-x2sf,,25906203,BLIND,7657611,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1366x768,1366x649,Passed_Trials,Study1.2 - ImmediateDiagrammingOnly,2,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,ImmediateDiagrammingOnly,ImmediateDiagrammingOnly,45,1,1,RestudyDecision,Selection1,response_dropdown,6500.7089999999735,,,Ja,,0,1,0,,,,6,,BotoxRestudyDecision,,,,,,
25,1670926925686,13/12/2022 10:22:05,1670926942916,1,13/12/2022 11:22:22,89483,9,task-x2sf,,25906203,BLIND,7657611,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1366x768,1366x649,Passed_Trials,Study1.2 - ImmediateDiagrammingOnly,2,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,ImmediateDiagrammingOnly,ImmediateDiagrammingOnly,45,1,1,RestudyDecision,script,force_advance,6500.7089999999735,,,,,0,1,0,,,,6,,BotoxRestudyDecision,,,,,,
26,1670926927184,13/12/2022 10:22:07,1670926944464,1,13/12/2022 11:22:24,89483,9,task-x2sf,,25906203,BLIND,7657611,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1366x768,1366x649,Passed_Trials,Study1.2 - ImmediateDiagrammingOnly,2,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,ImmediateDiagrammingOnly,ImmediateDiagrammingOnly,46,1,1,JoL,Three,response_button_text,1511.8000001907349,,,3,1,0,1,0,,,,6,,BotoxJoL,,,,,,
27,1670926927923,13/12/2022 10:22:07,1670926945227,1,13/12/2022 11:22:25,89483,9,task-x2sf,,25906203,BLIND,7657611,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1366x768,1366x649,Passed_Trials,Study1.2 - ImmediateDiagrammingOnly,2,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,ImmediateDiagrammingOnly,ImmediateDiagrammingOnly,47,1,1,IntroTest,ContinueButton,continue_button,729.6999998092651,,,,,0,1,0,,,,6,,BotoxIntroTest,,,,,,
28,1670927049070,13/12/2022 10:24:09,1670927066372,1,13/12/2022 11:24:26,89483,9,task-x2sf,,25906203,BLIND,7657611,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1366x768,1366x649,Passed_Trials,Study1.2 - ImmediateDiagrammingOnly,2,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,ImmediateDiagrammingOnly,ImmediateDiagrammingOnly,48,1,1,Test,buttonA,response_text_area,121092.19999980927,,,"een gevolg kan zijn dat je een gladde huid krijgt doordat je spieren nietmeer samen trekken. ook kan je gezichts uitdrukken veranderen want je gezijcht krijgt gewoon een iets andere vorm.
",,0,1,0,,,,6,,BotoxTest,,,,,8,
29,1670927049156,13/12/2022 10:24:09,1670927066376,1,13/12/2022 11:24:26,89483,9,task-x2sf,,25906203,BLIND,7657611,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1366x768,1366x649,Passed_Trials,Study1.2 - ImmediateDiagrammingOnly,2,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,ImmediateDiagrammingOnly,ImmediateDiagrammingOnly,48,1,1,Test,buttonB,continue_button,121092.19999980927,,,,,0,1,0,,,,6,,BotoxTest,,,,,8,
30,1670927050301,13/12/2022 10:24:10,1670927067604,1,13/12/2022 11:24:27,89483,9,task-x2sf,,25906203,BLIND,7657611,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1366x768,1366x649,Passed_Trials,Study1.2 - ImmediateDiagrammingOnly,2,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,ImmediateDiagrammingOnly,ImmediateDiagrammingOnly,17,2,1,Notification,ContinueButton,continue_button,1148.9000005722046,,,,,0,1,0,,,,,,InBetweenScreen,,,,,,"<center><p style=""font-size:30px""><b>2 van 6</b></p></center>"
31,1670927105215,13/12/2022 10:25:05,1670927122522,1,13/12/2022 11:25:22,89483,9,task-x2sf,,25906203,BLIND,7657611,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1366x768,1366x649,Passed_Trials,Study1.2 - ImmediateDiagrammingOnly,2,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,ImmediateDiagrammingOnly,ImmediateDiagrammingOnly,10,1,1,Text,advancementZone,continue_button,54878.400000572205,,,,,0,1,0,,,,2,,BetonText,,,,,,
32,1670927190716,13/12/2022 10:26:30,1670927208021,1,13/12/2022 11:26:48,89483,9,task-x2sf,,25906203,BLIND,7657611,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1366x768,1366x649,Passed_Trials,Study1.2 - ImmediateDiagrammingOnly,2,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,ImmediateDiagrammingOnly,ImmediateDiagrammingOnly,11,1,1,Diagramming,DiagBox2,response_text_area,85429.70000076294,,,maar door centrale verwarming droogt dit uit,,0,1,0,,,,2,,BetonDiagramCompletion,,5,,,,
33,1670927190851,13/12/2022 10:26:30,1670927208025,1,13/12/2022 11:26:48,89483,9,task-x2sf,,25906203,BLIND,7657611,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1366x768,1366x649,Passed_Trials,Study1.2 - ImmediateDiagrammingOnly,2,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,ImmediateDiagrammingOnly,ImmediateDiagrammingOnly,11,1,1,Diagramming,DiagBox3,response_text_area,85429.70000076294,,,daardoort kunnen die gebouwen krimpen,,0,1,0,,,,2,,BetonDiagramCompletion,,5,,,,
