Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-81rl,checkpoint-ciwr,checkpoint-77l8,checkpoint-x76j,checkpoint-b2g1,checkpoint-5gtg,checkpoint-dxsu,checkpoint-w6lf,checkpoint-hoqr,checkpoint-miih,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,TextTypes,ShowProgressBar
2,1673336054583,10/01/2023 07:34:14,1673336065387,1,10/01/2023 08:34:25,89483,9,task-5tuu,,26286862,BLIND,7759622,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1366x768,1366x625,Passed_Trials,AliceIntroVideos,12,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,AliceImmediateWithCueSelectionVideo,AliceImmediateWithCueSelectionVideo,1,1,1,Video,Zone1,content_video,190522.89999985695,,,,,0,1,0,,,,,,AliceImmediateWithCueSelectionVideo,,,
3,1673336054657,10/01/2023 07:34:14,1673336065394,1,10/01/2023 08:34:25,89483,9,task-5tuu,,26286862,BLIND,7759622,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1366x768,1366x625,Passed_Trials,AliceIntroVideos,12,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,AliceImmediateWithCueSelectionVideo,,,END TASK,,,,,192121,,,,,0,1,0,,,,,,,,,
1,1673335918865,10/01/2023 07:31:58,1673335918824,1,10/01/2023 08:31:58,89483,9,task-5tuu,,26286872,BLIND,7759623,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.54,1280x720,1280x601,Passed_Trials,AliceIntroVideos,12,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,AliceImmediateWithCueSelectionVideo,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,
2,1673336110135,10/01/2023 07:35:10,1673336110063,1,10/01/2023 08:35:10,89483,9,task-5tuu,,26286872,BLIND,7759623,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.54,1280x720,1280x601,Passed_Trials,AliceIntroVideos,12,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,AliceImmediateWithCueSelectionVideo,AliceImmediateWithCueSelectionVideo,1,1,1,Video,Zone1,content_video,190619.20000001788,,,,,0,1,0,,,,,,AliceImmediateWithCueSelectionVideo,,,
3,1673336110221,10/01/2023 07:35:10,1673336110065,1,10/01/2023 08:35:10,89483,9,task-5tuu,,26286872,BLIND,7759623,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.54,1280x720,1280x601,Passed_Trials,AliceIntroVideos,12,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,AliceImmediateWithCueSelectionVideo,,,END TASK,,,,,191241,,,,,0,1,0,,,,,,,,,
1,1673340976961,10/01/2023 08:56:16,1673340978046,1,10/01/2023 09:56:18,89483,9,task-5tuu,,26287624,BLIND,7759911,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1366x768,1366x617,Passed_Trials,AliceIntroVideos,12,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,AliceImmediateWithCueSelectionVideo,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,
2,1673341168869,10/01/2023 08:59:28,1673341169922,1,10/01/2023 09:59:29,89483,9,task-5tuu,,26287624,BLIND,7759911,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1366x768,1366x617,Passed_Trials,AliceIntroVideos,12,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,AliceImmediateWithCueSelectionVideo,AliceImmediateWithCueSelectionVideo,1,1,1,Video,Zone1,content_video,191120.5,,,,,0,1,0,,,,,,AliceImmediateWithCueSelectionVideo,,,
3,1673341168957,10/01/2023 08:59:28,1673341169936,1,10/01/2023 09:59:29,89483,9,task-5tuu,,26287624,BLIND,7759911,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1366x768,1366x617,Passed_Trials,AliceIntroVideos,12,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,AliceImmediateWithCueSelectionVideo,,,END TASK,,,,,191890,,,,,0,1,0,,,,,,,,,
1,1673341030756,10/01/2023 08:57:10,1673341029965,1,10/01/2023 09:57:09,89483,9,task-5tuu,,26287636,BLIND,7759913,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.76,1280x720,1280x569,Passed_Trials,AliceIntroVideos,12,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,AliceImmediateWithCueSelectionVideo,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,
2,1673341221241,10/01/2023 09:00:21,1673341220410,1,10/01/2023 10:00:20,89483,9,task-5tuu,,26287636,BLIND,7759913,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.76,1280x720,1280x569,Passed_Trials,AliceIntroVideos,12,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,AliceImmediateWithCueSelectionVideo,AliceImmediateWithCueSelectionVideo,1,1,1,Video,Zone1,content_video,190097.39999997616,,,,,0,1,0,,,,,,AliceImmediateWithCueSelectionVideo,,,
3,1673341221315,10/01/2023 09:00:21,1673341220415,1,10/01/2023 10:00:20,89483,9,task-5tuu,,26287636,BLIND,7759913,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.76,1280x720,1280x569,Passed_Trials,AliceIntroVideos,12,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,AliceImmediateWithCueSelectionVideo,,,END TASK,,,,,190450,,,,,0,1,0,,,,,,,,,
1,1673341065836,10/01/2023 08:57:45,1673341066418,1,10/01/2023 09:57:46,89483,9,task-5tuu,,26287653,BLIND,7759915,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.76,1280x720,1280x569,Passed_Trials,AliceIntroVideos,12,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,AliceImmediateWithCueSelectionVideo,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,
