Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-81rl,checkpoint-ciwr,checkpoint-77l8,checkpoint-x76j,checkpoint-b2g1,checkpoint-5gtg,checkpoint-dxsu,checkpoint-w6lf,checkpoint-hoqr,checkpoint-miih,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,Diagram Box Rows,TextTypes,TestTextArea
5,1675419846294,03/02/2023 10:24:06,1675419844881,1,03/02/2023 11:24:04,89483,9,task-ewz2,,26905957,BLIND,7991933,,complete,,,computer,Desktop or Laptop,Windows 7,Chrome 109.0.0.0,1366x768,1366x625,Passed_Trials,Study1.2 - SportenIsGezondSS,10,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,SportenWithSS,SportenWithSS,1,1,3,DiagramCompletion,DiagBox3,response_text_area,46999.20000000001,,,"Je hart gaat sneller kloppen, om de zuurstof te verspreiden",,0,1,0,,,,,,SportenWithSS,,5,,8
6,1675419846294,03/02/2023 10:24:06,1675419844882,1,03/02/2023 11:24:04,89483,9,task-ewz2,,26905957,BLIND,7991933,,complete,,,computer,Desktop or Laptop,Windows 7,Chrome 109.0.0.0,1366x768,1366x625,Passed_Trials,Study1.2 - SportenIsGezondSS,10,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,SportenWithSS,SportenWithSS,1,1,3,DiagramCompletion,DiagBox2,response_text_area,46999.20000000001,,,Je gaat sneller ademen om zuurstof op te nemen,,0,1,0,,,,,,SportenWithSS,,5,,8
7,1675419846294,03/02/2023 10:24:06,1675419844882,1,03/02/2023 11:24:04,89483,9,task-ewz2,,26905957,BLIND,7991933,,complete,,,computer,Desktop or Laptop,Windows 7,Chrome 109.0.0.0,1366x768,1366x625,Passed_Trials,Study1.2 - SportenIsGezondSS,10,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,SportenWithSS,SportenWithSS,1,1,3,DiagramCompletion,DiagBox1,response_text_area,46999.20000000001,,,Tijdens het sporten hebben je spieren zuurstof nodig,,0,1,0,,,,,,SportenWithSS,,5,,8
8,1675419846294,03/02/2023 10:24:06,1675419844883,1,03/02/2023 11:24:04,89483,9,task-ewz2,,26905957,BLIND,7991933,,complete,,,computer,Desktop or Laptop,Windows 7,Chrome 109.0.0.0,1366x768,1366x625,Passed_Trials,Study1.2 - SportenIsGezondSS,10,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,SportenWithSS,SportenWithSS,1,1,3,DiagramCompletion,Zone1,continue_button,46999.20000000001,,,,,0,1,0,,,,,,SportenWithSS,,5,,8
9,1675419868314,03/02/2023 10:24:28,1675419867490,1,03/02/2023 11:24:27,89483,9,task-ewz2,,26905957,BLIND,7991933,,complete,,,computer,Desktop or Laptop,Windows 7,Chrome 109.0.0.0,1366x768,1366x625,Passed_Trials,Study1.2 - SportenIsGezondSS,10,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,SportenWithSS,SportenWithSS,1,1,4,DiagramStudyWithSS,CueSelection1,response_dropdown,22565.76400000001,,,Juist,,0,1,0,,,,,,SportenWithSS,,5,,8
10,1675419868397,03/02/2023 10:24:28,1675419867496,1,03/02/2023 11:24:27,89483,9,task-ewz2,,26905957,BLIND,7991933,,complete,,,computer,Desktop or Laptop,Windows 7,Chrome 109.0.0.0,1366x768,1366x625,Passed_Trials,Study1.2 - SportenIsGezondSS,10,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,SportenWithSS,SportenWithSS,1,1,4,DiagramStudyWithSS,CueSelection2,response_dropdown,22565.76400000001,,,Juist,,0,1,0,,,,,,SportenWithSS,,5,,8
11,1675419868397,03/02/2023 10:24:28,1675419867498,1,03/02/2023 11:24:27,89483,9,task-ewz2,,26905957,BLIND,7991933,,complete,,,computer,Desktop or Laptop,Windows 7,Chrome 109.0.0.0,1366x768,1366x625,Passed_Trials,Study1.2 - SportenIsGezondSS,10,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,SportenWithSS,SportenWithSS,1,1,4,DiagramStudyWithSS,CueSelection3,response_dropdown,22565.76400000001,,,Juist,,0,1,0,,,,,,SportenWithSS,,5,,8
12,1675419868397,03/02/2023 10:24:28,1675419867499,1,03/02/2023 11:24:27,89483,9,task-ewz2,,26905957,BLIND,7991933,,complete,,,computer,Desktop or Laptop,Windows 7,Chrome 109.0.0.0,1366x768,1366x625,Passed_Trials,Study1.2 - SportenIsGezondSS,10,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,SportenWithSS,SportenWithSS,1,1,4,DiagramStudyWithSS,CueSelection4,response_dropdown,22565.76400000001,,,Ingevuld maar onjuist,,0,1,0,,,,,,SportenWithSS,,5,,8
13,1675419868397,03/02/2023 10:24:28,1675419867500,1,03/02/2023 11:24:27,89483,9,task-ewz2,,26905957,BLIND,7991933,,complete,,,computer,Desktop or Laptop,Windows 7,Chrome 109.0.0.0,1366x768,1366x625,Passed_Trials,Study1.2 - SportenIsGezondSS,10,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,SportenWithSS,SportenWithSS,1,1,4,DiagramStudyWithSS,script,force_advance,22565.76400000001,,,,,0,1,0,,,,,,SportenWithSS,,5,,8
14,1675419874475,03/02/2023 10:24:34,1675419873654,1,03/02/2023 11:24:33,89483,9,task-ewz2,,26905957,BLIND,7991933,,complete,,,computer,Desktop or Laptop,Windows 7,Chrome 109.0.0.0,1366x768,1366x625,Passed_Trials,Study1.2 - SportenIsGezondSS,10,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,SportenWithSS,SportenWithSS,1,1,5,RestudyDecision,Selection1,response_dropdown,6216.417999999991,,,Ja,,0,1,0,,,,,,SportenWithSS,,5,,8
15,1675419874564,03/02/2023 10:24:34,1675419873658,1,03/02/2023 11:24:33,89483,9,task-ewz2,,26905957,BLIND,7991933,,complete,,,computer,Desktop or Laptop,Windows 7,Chrome 109.0.0.0,1366x768,1366x625,Passed_Trials,Study1.2 - SportenIsGezondSS,10,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,SportenWithSS,SportenWithSS,1,1,5,RestudyDecision,script,force_advance,6216.417999999991,,,,,0,1,0,,,,,,SportenWithSS,,5,,8
16,1675419884579,03/02/2023 10:24:44,1675419883637,1,03/02/2023 11:24:43,89483,9,task-ewz2,,26905957,BLIND,7991933,,complete,,,computer,Desktop or Laptop,Windows 7,Chrome 109.0.0.0,1366x768,1366x625,Passed_Trials,Study1.2 - SportenIsGezondSS,10,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,SportenWithSS,SportenWithSS,1,1,6,JoL1,Two,response_button_text,9910.5,,,2,1,0,1,0,,,,,,SportenWithSS,,5,,8
17,1675419885887,03/02/2023 10:24:45,1675419885071,1,03/02/2023 11:24:45,89483,9,task-ewz2,,26905957,BLIND,7991933,,complete,,,computer,Desktop or Laptop,Windows 7,Chrome 109.0.0.0,1366x768,1366x625,Passed_Trials,Study1.2 - SportenIsGezondSS,10,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,SportenWithSS,SportenWithSS,1,1,7,InstructieToets,advancementZone,continue_button,1415.3000000000466,,,,,0,1,0,,,,,,SportenWithSS,,5,,8
18,1675419954051,03/02/2023 10:25:54,1675419953230,1,03/02/2023 11:25:53,89483,9,task-ewz2,,26905957,BLIND,7991933,,complete,,,computer,Desktop or Laptop,Windows 7,Chrome 109.0.0.0,1366x768,1366x625,Passed_Trials,Study1.2 - SportenIsGezondSS,10,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,SportenWithSS,SportenWithSS,1,1,8,Test,buttonA,response_text_area,68110.80000000005,,,"Tijdens sporten hebben je spieren meer zuurstof nodig
Je hart moet dan sneller pompen en je moet sneller ademen
Je hart en long spieren worden sterker
Er is een lagere kans op hart en long ziektes",,0,1,0,,,,,,SportenWithSS,,5,,8
19,1675419954108,03/02/2023 10:25:54,1675419953236,1,03/02/2023 11:25:53,89483,9,task-ewz2,,26905957,BLIND,7991933,,complete,,,computer,Desktop or Laptop,Windows 7,Chrome 109.0.0.0,1366x768,1366x625,Passed_Trials,Study1.2 - SportenIsGezondSS,10,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,SportenWithSS,SportenWithSS,1,1,8,Test,buttonB,continue_button,68110.80000000005,,,,,0,1,0,,,,,,SportenWithSS,,5,,8
20,1675419955805,03/02/2023 10:25:55,1675419954998,1,03/02/2023 11:25:54,89483,9,task-ewz2,,26905957,BLIND,7991933,,complete,,,computer,Desktop or Laptop,Windows 7,Chrome 109.0.0.0,1366x768,1366x625,Passed_Trials,Study1.2 - SportenIsGezondSS,10,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,SportenWithSS,SportenWithSS,1,1,9,Klaar4Experiment,advancementZone,continue_button,1738,,,,,0,1,0,,,,,,SportenWithSS,,5,,8
21,1675419955894,03/02/2023 10:25:55,1675419955010,1,03/02/2023 11:25:55,89483,9,task-ewz2,,26905957,BLIND,7991933,,complete,,,computer,Desktop or Laptop,Windows 7,Chrome 109.0.0.0,1366x768,1366x625,Passed_Trials,Study1.2 - SportenIsGezondSS,10,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,SportenWithSS,,,END TASK,,,,,201013,,,,,0,1,0,,,,,,,,,,
