Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-81rl,checkpoint-ciwr,checkpoint-77l8,checkpoint-x76j,checkpoint-b2g1,checkpoint-5gtg,checkpoint-dxsu,checkpoint-w6lf,checkpoint-hoqr,checkpoint-miih,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,TextTypes,ShowProgressBar
2,1673341222942,10/01/2023 09:00:22,1673341224851,1,10/01/2023 10:00:24,89483,9,task-qcms,,26287637,BLIND,7759930,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1366x768,1366x625,Passed_Trials,AliceIntroVideos,12,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,AliceImmediateWithoutCueSelectionVideo,AliceImmediateWithoutCueSelectionVideo,1,1,1,Video,Zone1,content_video,185611.90000009537,,,,,0,1,0,,,,,,AliceImmediateWithoutCueSelectionVideo,,,
3,1673341223042,10/01/2023 09:00:23,1673341224869,1,10/01/2023 10:00:24,89483,9,task-qcms,,26287637,BLIND,7759930,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1366x768,1366x625,Passed_Trials,AliceIntroVideos,12,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,AliceImmediateWithoutCueSelectionVideo,,,END TASK,,,,,186389,,,,,0,1,0,,,,,,,,,
1,1673340965022,10/01/2023 08:56:05,1673340970320,1,10/01/2023 09:56:10,89483,9,task-qcms,,26287621,BLIND,7759910,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1280x720,1280x577,Passed_Trials,AliceIntroVideos,12,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,AliceImmediateWithoutCueSelectionVideo,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,
2,1673341150993,10/01/2023 08:59:10,1673341156304,1,10/01/2023 09:59:16,89483,9,task-qcms,,26287621,BLIND,7759910,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1280x720,1280x577,Passed_Trials,AliceIntroVideos,12,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,AliceImmediateWithoutCueSelectionVideo,AliceImmediateWithoutCueSelectionVideo,1,1,1,Video,Zone1,content_video,185172.09999990463,,,,,0,1,0,,,,,,AliceImmediateWithoutCueSelectionVideo,,,
3,1673341151042,10/01/2023 08:59:11,1673341156311,1,10/01/2023 09:59:16,89483,9,task-qcms,,26287621,BLIND,7759910,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1280x720,1280x577,Passed_Trials,AliceIntroVideos,12,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,AliceImmediateWithoutCueSelectionVideo,,,END TASK,,,,,185991,,,,,0,1,0,,,,,,,,,
1,1673336410970,10/01/2023 07:40:10,1673336415195,1,10/01/2023 08:40:15,89483,9,task-qcms,,26287054,BLIND,7759678,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1366x768,1366x657,Passed_Trials,AliceIntroVideos,12,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,AliceImmediateWithoutCueSelectionVideo,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,
2,1673336602220,10/01/2023 07:43:22,1673336606418,1,10/01/2023 08:43:26,89483,9,task-qcms,,26287054,BLIND,7759678,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1366x768,1366x657,Passed_Trials,AliceIntroVideos,12,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,AliceImmediateWithoutCueSelectionVideo,AliceImmediateWithoutCueSelectionVideo,1,1,1,Video,Zone1,content_video,185291.10000038147,,,,,0,1,0,,,,,,AliceImmediateWithoutCueSelectionVideo,,,
3,1673336602290,10/01/2023 07:43:22,1673336606432,1,10/01/2023 08:43:26,89483,9,task-qcms,,26287054,BLIND,7759678,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1366x768,1366x657,Passed_Trials,AliceIntroVideos,12,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,AliceImmediateWithoutCueSelectionVideo,,,END TASK,,,,,191240,,,,,0,1,0,,,,,,,,,
1,1673336341049,10/01/2023 07:39:01,1673336340164,1,10/01/2023 08:39:00,89483,9,task-qcms,,26287030,BLIND,7759673,,complete,,,computer,Desktop or Laptop,Chromium OS 12239.92.0,Chrome 76.0.3809.136,1366x768,1366x641,Passed_Trials,AliceIntroVideos,12,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,AliceImmediateWithoutCueSelectionVideo,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,
2,1673336526594,10/01/2023 07:42:06,1673336525690,1,10/01/2023 08:42:05,89483,9,task-qcms,,26287030,BLIND,7759673,,complete,,,computer,Desktop or Laptop,Chromium OS 12239.92.0,Chrome 76.0.3809.136,1366x768,1366x641,Passed_Trials,AliceIntroVideos,12,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,AliceImmediateWithoutCueSelectionVideo,AliceImmediateWithoutCueSelectionVideo,1,1,1,Video,Zone1,content_video,185159.38000000006,,,,,0,1,0,,,,,,AliceImmediateWithoutCueSelectionVideo,,,
