Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-81rl,checkpoint-ciwr,checkpoint-77l8,checkpoint-x76j,checkpoint-b2g1,checkpoint-5gtg,checkpoint-dxsu,checkpoint-w6lf,checkpoint-hoqr,checkpoint-miih,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,Diagram Box Rows,Diagram Box Require Response,TextTypes,ToetsTextArea,"# Xof6Trials

Your body text here."
21,1670834095718,12/12/2022 08:34:55,1670834065601,1,12/12/2022 09:34:25,89483,9,task-cw61,,25868506,BLIND,7649916,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,Passed_Trials,Study1.2 - ImmediateWithoutCueSelection,5,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,ImmediateWithoutCueSelection,ImmediateWithoutCueSelection,35,1,1,Diagramming,DiagBox1,response_text_area,105489,,,mensen kunnen zich voor maar kort gellukig voele,,0,1,0,,,,5,,GeldDiagramCompletion,,5,,,,
22,1670834095718,12/12/2022 08:34:55,1670834065601,1,12/12/2022 09:34:25,89483,9,task-cw61,,25868506,BLIND,7649916,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,Passed_Trials,Study1.2 - ImmediateWithoutCueSelection,5,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,ImmediateWithoutCueSelection,ImmediateWithoutCueSelection,35,1,1,Diagramming,Zone1,continue_button,105489,,,,,0,1,0,,,,5,,GeldDiagramCompletion,,5,,,,
23,1670834095718,12/12/2022 08:34:55,1670834075458,1,12/12/2022 09:34:35,89483,9,task-cw61,,25868506,BLIND,7649916,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,Passed_Trials,Study1.2 - ImmediateWithoutCueSelection,5,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,ImmediateWithoutCueSelection,ImmediateWithoutCueSelection,36,1,1,DiagramStudy,Zone1,continue_button,9769.300000000047,,,,,0,1,0,,,,5,,GeldDiagramStudy,,,,,,
24,1670834095718,12/12/2022 08:34:55,1670834082045,1,12/12/2022 09:34:42,89483,9,task-cw61,,25868506,BLIND,7649916,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,Passed_Trials,Study1.2 - ImmediateWithoutCueSelection,5,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,ImmediateWithoutCueSelection,ImmediateWithoutCueSelection,37,1,1,RestudyDecision,Selection1,response_dropdown,6566.35400000005,,,Ja,,0,1,0,,,,5,,RestudyDecisionText2,,,,,,
25,1670834095718,12/12/2022 08:34:55,1670834082046,1,12/12/2022 09:34:42,89483,9,task-cw61,,25868506,BLIND,7649916,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,Passed_Trials,Study1.2 - ImmediateWithoutCueSelection,5,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,ImmediateWithoutCueSelection,ImmediateWithoutCueSelection,37,1,1,RestudyDecision,script,force_advance,6566.35400000005,,,,,0,1,0,,,,5,,RestudyDecisionText2,,,,,,
26,1670834095718,12/12/2022 08:34:55,1670834083091,1,12/12/2022 09:34:43,89483,9,task-cw61,,25868506,BLIND,7649916,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,Passed_Trials,Study1.2 - ImmediateWithoutCueSelection,5,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,ImmediateWithoutCueSelection,ImmediateWithoutCueSelection,38,1,1,JoL,Two,response_button_text,1031.9000000001397,,,2,1,0,1,0,,,,5,,GeldJoL,,,,,,
27,1670834095718,12/12/2022 08:34:55,1670834084426,1,12/12/2022 09:34:44,89483,9,task-cw61,,25868506,BLIND,7649916,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,Passed_Trials,Study1.2 - ImmediateWithoutCueSelection,5,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,ImmediateWithoutCueSelection,ImmediateWithoutCueSelection,39,1,1,IntroTest,ContinueButton,continue_button,1322.6000000000931,,,,,0,1,0,,,,5,,GeldIntroTest,,,,,,
28,1670834217820,12/12/2022 08:36:57,1670834217827,1,12/12/2022 09:36:57,89483,9,task-cw61,,25868506,BLIND,7649916,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,Passed_Trials,Study1.2 - ImmediateWithoutCueSelection,5,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,ImmediateWithoutCueSelection,ImmediateWithoutCueSelection,40,1,1,Test,buttonA,response_text_area,133388.30000000005,,,"een mens kan niet al te lang focussen op gevaar 
het kan ook maar kort erg gelukkig of ongelukking zijn
ze raken snel gewend aan luxe zoals geld en alcohol
lottowinnaars zij vaak helemaal niet gelukkig",,0,1,0,,,,5,,GeldTest,,,,,8,
29,1670834217993,12/12/2022 08:36:57,1670834217829,1,12/12/2022 09:36:57,89483,9,task-cw61,,25868506,BLIND,7649916,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,Passed_Trials,Study1.2 - ImmediateWithoutCueSelection,5,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,ImmediateWithoutCueSelection,ImmediateWithoutCueSelection,40,1,1,Test,buttonB,continue_button,133388.30000000005,,,,,0,1,0,,,,5,,GeldTest,,,,,8,
30,1670834218869,12/12/2022 08:36:58,1670834218885,1,12/12/2022 09:36:58,89483,9,task-cw61,,25868506,BLIND,7649916,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,Passed_Trials,Study1.2 - ImmediateWithoutCueSelection,5,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,ImmediateWithoutCueSelection,ImmediateWithoutCueSelection,17,2,1,Notification,ContinueButton,continue_button,1034.5,,,,,0,1,0,,,,,,InBetweenScreen,,,,,,"<center><p style=""font-size:30px""><b>2 van 6</b></p></center>"
