Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-81rl,checkpoint-ciwr,checkpoint-77l8,checkpoint-x76j,checkpoint-b2g1,checkpoint-5gtg,checkpoint-dxsu,checkpoint-w6lf,checkpoint-hoqr,checkpoint-miih,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,TextTypes,ShowProgressBar
3,1670838294537,12/12/2022 09:44:54,1670838294209,1,12/12/2022 10:44:54,89483,9,task-4t5w,,25869384,BLIND,7650198,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1280x720,1280x569,Passed_Trials,AliceIntroVideos,12,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,AliceImmediateDiagrammingOnly,,,END TASK,,,,,185627,,,,,0,1,0,,,,,,,,,
1,1670838187498,12/12/2022 09:43:07,1670838189907,1,12/12/2022 10:43:09,89483,9,task-4t5w,,25869409,BLIND,7650218,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1536x864,1490x746,Passed_Trials,AliceIntroVideos,12,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,AliceImmediateDiagrammingOnly,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,
2,1670838373157,12/12/2022 09:46:13,1670838375617,1,12/12/2022 10:46:15,89483,9,task-4t5w,,25869409,BLIND,7650218,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1536x864,1473x746,Passed_Trials,AliceIntroVideos,12,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,AliceImmediateDiagrammingOnly,AliceImmediateDiagrammingOnly,1,1,1,Video,Zone1,content_video,184888.6000000001,,,,,0,1,0,,,,,,AliceImmediateDiagrammingOnly,,,
3,1670838373216,12/12/2022 09:46:13,1670838375623,1,12/12/2022 10:46:15,89483,9,task-4t5w,,25869409,BLIND,7650218,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.62,1536x864,1473x746,Passed_Trials,AliceIntroVideos,12,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,AliceImmediateDiagrammingOnly,,,END TASK,,,,,185716,,,,,0,1,0,,,,,,,,,
1,1670838284301,12/12/2022 09:44:44,1670838283888,1,12/12/2022 10:44:43,89483,9,task-4t5w,,25869444,BLIND,7650212,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1280x720,1280x569,Passed_Trials,AliceIntroVideos,12,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,AliceImmediateDiagrammingOnly,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,
2,1670838471323,12/12/2022 09:47:51,1670838469574,1,12/12/2022 10:47:49,89483,9,task-4t5w,,25869444,BLIND,7650212,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1280x720,1280x569,Passed_Trials,AliceIntroVideos,12,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,AliceImmediateDiagrammingOnly,AliceImmediateDiagrammingOnly,1,1,1,Video,Zone1,content_video,184813.70000000298,,,,,0,1,0,,,,,,AliceImmediateDiagrammingOnly,,,
3,1670838471451,12/12/2022 09:47:51,1670838469584,1,12/12/2022 10:47:49,89483,9,task-4t5w,,25869444,BLIND,7650212,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1280x720,1280x569,Passed_Trials,AliceIntroVideos,12,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,AliceImmediateDiagrammingOnly,,,END TASK,,,,,185696,,,,,0,1,0,,,,,,,,,
1,1670838320027,12/12/2022 09:45:20,1670838319804,1,12/12/2022 10:45:19,89483,9,task-4t5w,,25869460,BLIND,7650215,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1280x720,1280x609,Passed_Trials,AliceIntroVideos,12,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,AliceImmediateDiagrammingOnly,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,
2,1670838374848,12/12/2022 09:46:14,1670838374669,1,12/12/2022 10:46:14,89483,9,task-4t5w,,25869460,BLIND,7650215,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1280x720,1280x609,Passed_Trials,AliceIntroVideos,12,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,AliceImmediateDiagrammingOnly,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,
3,1670838696629,12/12/2022 09:51:36,1670838696358,1,12/12/2022 10:51:36,89483,9,task-4t5w,,25869460,BLIND,7650215,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1280x720,1280x609,Passed_Trials,AliceIntroVideos,12,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,AliceImmediateDiagrammingOnly,AliceImmediateDiagrammingOnly,1,1,1,Video,Zone1,content_video,321115.7999999523,,,,,0,1,0,,,,,,AliceImmediateDiagrammingOnly,,,
