Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-81rl,checkpoint-ciwr,checkpoint-77l8,checkpoint-x76j,checkpoint-b2g1,checkpoint-5gtg,checkpoint-dxsu,checkpoint-w6lf,checkpoint-hoqr,checkpoint-miih,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,Diagram Box Rows,TextTypes,TestTextArea
4,1670833434444,12/12/2022 08:23:54,1670833430693,1,12/12/2022 09:23:50,89483,9,task-cobv,,25868465,BLIND,7649929,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x760,Passed_Trials,Study1.2 - SportenIsGezondDiagrammingOnly,2,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,SportenDiagrammingOnly,SportenDiagrammingOnly,1,1,3,Diagram,DiagBox4,response_text_area,134862.5,,,Zo kun je vaker sporten en ben je mindervaak buitenadem,,0,1,0,,,,,,SportenNoSS,,5,,8
5,1670833434534,12/12/2022 08:23:54,1670833430695,1,12/12/2022 09:23:50,89483,9,task-cobv,,25868465,BLIND,7649929,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x760,Passed_Trials,Study1.2 - SportenIsGezondDiagrammingOnly,2,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,SportenDiagrammingOnly,SportenDiagrammingOnly,1,1,3,Diagram,DiagBox3,response_text_area,134862.5,,,?,,0,1,0,,,,,,SportenNoSS,,5,,8
6,1670833434534,12/12/2022 08:23:54,1670833430696,1,12/12/2022 09:23:50,89483,9,task-cobv,,25868465,BLIND,7649929,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x760,Passed_Trials,Study1.2 - SportenIsGezondDiagrammingOnly,2,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,SportenDiagrammingOnly,SportenDiagrammingOnly,1,1,3,Diagram,DiagBox2,response_text_area,134862.5,,,hiervoor heb je veel zuurstof nodig,,0,1,0,,,,,,SportenNoSS,,5,,8
7,1670833434534,12/12/2022 08:23:54,1670833430696,1,12/12/2022 09:23:50,89483,9,task-cobv,,25868465,BLIND,7649929,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x760,Passed_Trials,Study1.2 - SportenIsGezondDiagrammingOnly,2,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,SportenDiagrammingOnly,SportenDiagrammingOnly,1,1,3,Diagram,DiagBox1,response_text_area,134862.5,,,Als je beweegt dan moet je heel veel ademhalen,,0,1,0,,,,,,SportenNoSS,,5,,8
8,1670833434534,12/12/2022 08:23:54,1670833430696,1,12/12/2022 09:23:50,89483,9,task-cobv,,25868465,BLIND,7649929,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x760,Passed_Trials,Study1.2 - SportenIsGezondDiagrammingOnly,2,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,SportenDiagrammingOnly,SportenDiagrammingOnly,1,1,3,Diagram,Zone1,continue_button,134862.5,,,,,0,1,0,,,,,,SportenNoSS,,5,,8
9,1670833437127,12/12/2022 08:23:57,1670833433392,1,12/12/2022 09:23:53,89483,9,task-cobv,,25868465,BLIND,7649929,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x760,Passed_Trials,Study1.2 - SportenIsGezondDiagrammingOnly,2,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,SportenDiagrammingOnly,SportenDiagrammingOnly,1,1,4,Feedback,Zone1,continue_button,2632,,,,,0,1,0,,,,,,SportenNoSS,,5,,8
10,1670833442251,12/12/2022 08:24:02,1670833438506,1,12/12/2022 09:23:58,89483,9,task-cobv,,25868465,BLIND,7649929,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x760,Passed_Trials,Study1.2 - SportenIsGezondDiagrammingOnly,2,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,SportenDiagrammingOnly,SportenDiagrammingOnly,1,1,5,RestudyDecision,Selection1,response_dropdown,5085.245000000024,,,Ja,,0,1,0,,,,,,SportenNoSS,,5,,8
11,1670833442299,12/12/2022 08:24:02,1670833438507,1,12/12/2022 09:23:58,89483,9,task-cobv,,25868465,BLIND,7649929,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x760,Passed_Trials,Study1.2 - SportenIsGezondDiagrammingOnly,2,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,SportenDiagrammingOnly,SportenDiagrammingOnly,1,1,5,RestudyDecision,script,force_advance,5085.245000000024,,,,,0,1,0,,,,,,SportenNoSS,,5,,8
12,1670833445498,12/12/2022 08:24:05,1670833441757,1,12/12/2022 09:24:01,89483,9,task-cobv,,25868465,BLIND,7649929,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x760,Passed_Trials,Study1.2 - SportenIsGezondDiagrammingOnly,2,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,SportenDiagrammingOnly,SportenDiagrammingOnly,1,1,6,JoL1,Two,response_button_text,3244,,,2,1,0,1,0,,,,,,SportenNoSS,,5,,8
13,1670833446913,12/12/2022 08:24:06,1670833443179,1,12/12/2022 09:24:03,89483,9,task-cobv,,25868465,BLIND,7649929,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x760,Passed_Trials,Study1.2 - SportenIsGezondDiagrammingOnly,2,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,SportenDiagrammingOnly,SportenDiagrammingOnly,1,1,7,InstructieToets,advancementZone,continue_button,1412.6999999284744,,,,,0,1,0,,,,,,SportenNoSS,,5,,8
