Experiment Simple_Date Class_ID Participant_Private_ID Condition Phase Trial Zone_Name DiagramStudySS
1 2022-06-03 8hl 6563288 SSI 1 Suez DiagBox2 Juist
1 2022-06-03 8hl 6563288 SSI 1 Suez DiagBox3 "Niet ingevuld"
1 2022-06-03 8hl 6563288 SSI 1 Suez DiagBox4 "Niet ingevuld"
1 2022-06-03 8hl 6563288 SSI 1 Suez DiagBox1 "Ingevuld maar onjuist"
1 2022-06-03 8hl 6563288 SSI 1 Muziek DiagBox1 "Ingevuld maar onjuist"
1 2022-06-03 8hl 6563288 SSI 1 Muziek DiagBox2 Juist
1 2022-06-03 8hl 6563288 SSI 1 Muziek DiagBox3 Juist
1 2022-06-03 8hl 6563288 SSI 1 Muziek DiagBox4 Juist
1 2022-06-03 8hl 6563288 SSI 1 Botox DiagBox3 Juist
1 2022-06-03 8hl 6563288 SSI 1 Botox DiagBox4 Juist
1 2022-06-03 8hl 6563288 SSI 1 Botox DiagBox2 Juist
1 2022-06-03 8hl 6563288 SSI 1 Botox DiagBox1 "Niet ingevuld"
1 2022-06-03 8hl 6563288 SSI 2 Geld DiagBox2 NA
1 2022-06-03 8hl 6563288 SSI 2 Geld DiagBox3 NA
1 2022-06-03 8hl 6563288 SSI 2 Geld DiagBox4 NA
1 2022-06-03 8hl 6563288 SSI 2 Geld DiagBox1 NA
1 2022-06-03 8hl 6563288 SSI 2 Beton DiagBox2 NA
1 2022-06-03 8hl 6563288 SSI 2 Beton DiagBox3 NA
1 2022-06-03 8hl 6563288 SSI 2 Beton DiagBox4 NA
1 2022-06-03 8hl 6563288 SSI 2 Beton DiagBox1 NA
1 2022-06-03 8hl 6563288 SSI 2 Metro DiagBox1 NA
1 2022-06-03 8hl 6563288 SSI 2 Metro DiagBox3 NA
1 2022-06-03 8hl 6563288 SSI 2 Metro DiagBox4 NA
1 2022-06-03 8hl 6563288 SSI 2 Metro DiagBox2 NA
1 2022-06-03 8hl 6563289 SSI 1 Metro DiagBox1 "Niet ingevuld"
1 2022-06-03 8hl 6563289 SSI 1 Metro DiagBox3 "Niet ingevuld"
1 2022-06-03 8hl 6563289 SSI 1 Metro DiagBox4 "Niet ingevuld"
