Experiment Class_ID Participant_Private_ID Time_On_Task Condition Phase Trial Time_On_Trial Trial_Number Zone_Name Diagramming DiagramStudySS Correct_Points Element_Number Commission Word_Count
1 92J 6563282 12.7833333333333 No-SSI 1 Botox 350 1 DiagBox4 "het gezicht kan een ongewenste uitdrukking krijgen" No_SSI 1 4 0 7
1 92J 6563282 12.7833333333333 No-SSI 1 Botox 350 1 DiagBox2 "wordt ook gebruikt om rimpels weg te halen" No_SSI 1 2 0 8
1 92J 6563282 12.7833333333333 No-SSI 1 Botox 350 1 DiagBox1 "dat kan helpen bij spiertrekkingen" No_SSI 1 1 0 5
1 92J 6563282 12.7833333333333 No-SSI 1 Geld 349 2 DiagBox2 "geld is een korte blijdschap" No_SSI 1 2 0 5
1 92J 6563282 12.7833333333333 No-SSI 1 Geld 349 2 DiagBox3 ? No_SSI 0 NA 0 0
1 92J 6563282 12.7833333333333 No-SSI 1 Geld 349 2 DiagBox4 "Als je snel veel geld verdient wil je meer" No_SSI 1 4 0 9
1 92J 6563282 12.7833333333333 No-SSI 1 Geld 349 2 DiagBox1 "Familie en vrienden zijn erg belangrijk in het leven" No_SSI NA NA 0 9
1 92J 6563282 12.7833333333333 No-SSI 1 Muziek 342 3 DiagBox1 "houden je brein jong en onthoud goed" No_SSI 1 3 0 7
1 92J 6563282 12.7833333333333 No-SSI 1 Muziek 342 3 DiagBox2 "mensen met alzheimer herrineren zich nog liedjes" No_SSI 0 3 0 7
1 92J 6563282 12.7833333333333 No-SSI 1 Muziek 342 3 DiagBox3 "instrumenten spelen verleer je niet zo snel
" No_SSI 0 NA 1 7
1 92J 6563282 12.7833333333333 No-SSI 1 Muziek 342 3 DiagBox4 "het lezen kan helpen" No_SSI 0 NA 1 4
1 92J 6563282 12.7833333333333 No-SSI 2 Metro 209 4 DiagBox1 "van de wagons af" No_SSI 1 1 0 4
1 92J 6563282 12.7833333333333 No-SSI 2 Metro 209 4 DiagBox3 "meer zeefauna" No_SSI 0 4 1 2
1 92J 6563282 12.7833333333333 No-SSI 2 Metro 209 4 DiagBox4 "veel vissen" No_SSI 1 4 0 2
1 92J 6563282 12.7833333333333 No-SSI 2 Metro 209 4 DiagBox2 "nieuw rif" No_SSI 1 2 0 2
1 92J 6563282 12.7833333333333 No-SSI 2 Beton 217 5 DiagBox2 "het beton wordt warm" No_SSI 0 1 1 4
1 92J 6563282 12.7833333333333 No-SSI 2 Beton 217 5 DiagBox3 "het beton krimpt" No_SSI 1 3 0 3
1 92J 6563282 12.7833333333333 No-SSI 2 Beton 217 5 DiagBox4 "de liftschacht krimpt" No_SSI 0 3 0 3
1 92J 6563282 12.7833333333333 No-SSI 2 Beton 217 5 DiagBox1 "een gebouw wordt gebouwd van beton" No_SSI NA NA 0 6
1 92J 6563282 12.7833333333333 No-SSI 2 Suez 227 6 DiagBox2 "veel te lang" No_SSI 1 3 0 3
1 92J 6563282 12.7833333333333 No-SSI 2 Suez 227 6 DiagBox3 "een idee om een kanaal aan te leggen" No_SSI 1 4 0 8
1 92J 6563282 12.7833333333333 No-SSI 2 Suez 227 6 DiagBox4 "de afstand werd gehalveerd door het kanaal" No_SSI 0 Given 1 7
1 92J 6563282 12.7833333333333 No-SSI 2 Suez 227 6 DiagBox1 "handelschepen moesten om Afrika" No_SSI 1 2 0 4
1 92J 6563283 49.25 No-SSI 1 Geld 1310 1 DiagBox2 "Van dat geld dat je hebt gewonnen kopen mensen vaak dure dingen, als alcohol." No_SSI 0 NA 1 14
1 92J 6563283 49.25 No-SSI 1 Geld 1310 1 DiagBox3 "Als die dure dingen opraken, wil je meer van dat." No_SSI 1 4 0 10
1 92J 6563283 49.25 No-SSI 1 Geld 1310 1 DiagBox4 "Als je niet meer dure dingen, kan kopen gaat dat hele geluksgevoel weg, waardoor je het tegenovergestelde ervaart." No_SSI 0 NA 1 18
1 92J 6563283 49.25 No-SSI 1 Geld 1310 1 DiagBox1 "Als lottowinnaar lijkt het heel fijn om veel geld te winnen, dat geeft een geluksgevoel." No_SSI 0 NA 1 15
1 92J 6563283 49.25 No-SSI 1 Muziek 1445 2 DiagBox1 "Van het bespelen van een instrument leer je erg veel andere dingen dan alleen maar muziek leren, lezen en spelen." No_SSI 0 NA 1 20
1 92J 6563283 49.25 No-SSI 1 Muziek 1445 2 DiagBox2 "Je kan erdoor beter worden in vakken als wiskunde." No_SSI 1 2 0 9
1 92J 6563283 49.25 No-SSI 1 Muziek 1445 2 DiagBox3 "Je IQ gaat erdoor omhoog." No_SSI 1 4 0 5
1 92J 6563283 49.25 No-SSI 1 Muziek 1445 2 DiagBox4 "Ook maakt muziek herrineringen, wat je heel lang kan onthouden." No_SSI 0 3 1 10
1 92J 6563283 49.25 No-SSI 1 Metro 1484 3 DiagBox1 "Dit zorgde voor veel nieuw koraal" No_SSI 1 2 0 6
