Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-81rl,checkpoint-ciwr,checkpoint-77l8,checkpoint-x76j,checkpoint-b2g1,checkpoint-5gtg,checkpoint-dxsu,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,TextTypes,ShowProgressBar
3,1655287616951,15/06/2022 10:06:56,1655287615640,2,15/06/2022 12:06:55,86110,10,task-5tuu,,22493745,BLIND,6626655,,complete,,,computer,Desktop or Laptop,Chromium OS 14695.85.0,Chrome 102.0.0.0,1616x909,1616x791,Passed_Trials,AliceIntroVideos,9,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,AliceVideoDelayedDiagrammingSS,,,END TASK,,,,,189837,,,,,0,1,0,,,,,,,,,
1,1655287420818,15/06/2022 10:03:40,1655287421011,2,15/06/2022 12:03:41,86110,10,task-5tuu,,22493741,BLIND,6626645,,complete,,,computer,Desktop or Laptop,Chromium OS 14695.85.0,Chrome 102.0.0.0,1536x864,1536x794,Passed_Trials,AliceIntroVideos,9,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,AliceVideoDelayedDiagrammingSS,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,
2,1655287610948,15/06/2022 10:06:50,1655287611113,2,15/06/2022 12:06:51,86110,10,task-5tuu,,22493741,BLIND,6626645,,complete,,,computer,Desktop or Laptop,Chromium OS 14695.85.0,Chrome 102.0.0.0,1536x864,1536x794,Passed_Trials,AliceIntroVideos,9,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,AliceVideoDelayedDiagrammingSS,AliceVideoDelayedDiagrammingSS,1,1,1,Video,Zone1,content_video,189351.89999999997,,,,,0,1,0,,,,,,AliceDelayedWithCueSelectionVideo,,,
3,1655287611011,15/06/2022 10:06:51,1655287611118,2,15/06/2022 12:06:51,86110,10,task-5tuu,,22493741,BLIND,6626645,,complete,,,computer,Desktop or Laptop,Chromium OS 14695.85.0,Chrome 102.0.0.0,1536x864,1536x794,Passed_Trials,AliceIntroVideos,9,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,AliceVideoDelayedDiagrammingSS,,,END TASK,,,,,190107,,,,,0,1,0,,,,,,,,,
1,1655287398235,15/06/2022 10:03:18,1655287397117,2,15/06/2022 12:03:17,86110,10,task-5tuu,,22493732,BLIND,6626638,,complete,,,computer,Desktop or Laptop,Chromium OS 14695.85.0,Chrome 102.0.0.0,1536x864,1536x746,Passed_Trials,AliceIntroVideos,9,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,AliceVideoDelayedDiagrammingSS,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,
2,1655287588094,15/06/2022 10:06:28,1655287587060,2,15/06/2022 12:06:27,86110,10,task-5tuu,,22493732,BLIND,6626638,,complete,,,computer,Desktop or Laptop,Chromium OS 14695.85.0,Chrome 102.0.0.0,1536x864,1536x746,Passed_Trials,AliceIntroVideos,9,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,AliceVideoDelayedDiagrammingSS,AliceVideoDelayedDiagrammingSS,1,1,1,Video,Zone1,content_video,189317.80000000002,,,,,0,1,0,,,,,,AliceDelayedWithCueSelectionVideo,,,
3,1655287588175,15/06/2022 10:06:28,1655287587067,2,15/06/2022 12:06:27,86110,10,task-5tuu,,22493732,BLIND,6626638,,complete,,,computer,Desktop or Laptop,Chromium OS 14695.85.0,Chrome 102.0.0.0,1536x864,1536x746,Passed_Trials,AliceIntroVideos,9,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,AliceVideoDelayedDiagrammingSS,,,END TASK,,,,,189950,,,,,0,1,0,,,,,,,,,
1,1655287390961,15/06/2022 10:03:10,1655287391346,2,15/06/2022 12:03:11,86110,10,task-5tuu,,22493725,BLIND,6626640,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 102.0.0.0,1280x720,1280x587,Passed_Trials,AliceIntroVideos,9,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,AliceVideoDelayedDiagrammingSS,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,
2,1655287582868,15/06/2022 10:06:22,1655287583100,2,15/06/2022 12:06:23,86110,10,task-5tuu,,22493725,BLIND,6626640,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 102.0.0.0,1280x720,1280x587,Passed_Trials,AliceIntroVideos,9,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,AliceVideoDelayedDiagrammingSS,AliceVideoDelayedDiagrammingSS,1,1,1,Video,Zone1,content_video,189804.30000001192,,,,,0,1,0,,,,,,AliceDelayedWithCueSelectionVideo,,,
3,1655287582909,15/06/2022 10:06:22,1655287583109,2,15/06/2022 12:06:23,86110,10,task-5tuu,,22493725,BLIND,6626640,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 102.0.0.0,1280x720,1280x587,Passed_Trials,AliceIntroVideos,9,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,AliceVideoDelayedDiagrammingSS,,,END TASK,,,,,191764,,,,,0,1,0,,,,,,,,,
1,1655287366926,15/06/2022 10:02:46,1655287366216,2,15/06/2022 12:02:46,86110,10,task-5tuu,,22493716,BLIND,6626641,,complete,,,computer,Desktop or Laptop,Chromium OS 14695.85.0,Chrome 102.0.0.0,1536x864,1536x746,Passed_Trials,AliceIntroVideos,9,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,AliceVideoDelayedDiagrammingSS,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,
2,1655287557933,15/06/2022 10:05:57,1655287557021,2,15/06/2022 12:05:57,86110,10,task-5tuu,,22493716,BLIND,6626641,,complete,,,computer,Desktop or Laptop,Chromium OS 14695.85.0,Chrome 102.0.0.0,1536x864,1536x746,Passed_Trials,AliceIntroVideos,9,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,AliceVideoDelayedDiagrammingSS,AliceVideoDelayedDiagrammingSS,1,1,1,Video,Zone1,content_video,189782.49999999997,,,,,0,1,0,,,,,,AliceDelayedWithCueSelectionVideo,,,
3,1655287558033,15/06/2022 10:05:58,1655287557039,2,15/06/2022 12:05:57,86110,10,task-5tuu,,22493716,BLIND,6626641,,complete,,,computer,Desktop or Laptop,Chromium OS 14695.85.0,Chrome 102.0.0.0,1536x864,1536x746,Passed_Trials,AliceIntroVideos,9,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,AliceVideoDelayedDiagrammingSS,,,END TASK,,,,,190823,,,,,0,1,0,,,,,,,,,
1,1655119147667,13/06/2022 11:19:07,1655119146344,2,13/06/2022 13:19:06,86110,10,task-5tuu,,22441950,BLIND,6613780,,complete,,,computer,Desktop or Laptop,Chromium OS 14695.85.0,Chrome 102.0.5005.75,1536x864,1536x746,Passed_Trials,AliceIntroVideos,9,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,AliceVideoDelayedDiagrammingSS,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,
2,1655119337372,13/06/2022 11:22:17,1655119336120,2,13/06/2022 13:22:16,86110,10,task-5tuu,,22441950,BLIND,6613780,,complete,,,computer,Desktop or Laptop,Chromium OS 14695.85.0,Chrome 102.0.5005.75,1536x864,1536x746,Passed_Trials,AliceIntroVideos,9,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,AliceVideoDelayedDiagrammingSS,AliceVideoDelayedDiagrammingSS,1,1,1,Video,Zone1,content_video,189463.70000000007,,,,,0,1,0,,,,,,AliceDelayedWithCueSelectionVideo,,,
3,1655119337418,13/06/2022 11:22:17,1655119336124,2,13/06/2022 13:22:16,86110,10,task-5tuu,,22441950,BLIND,6613780,,complete,,,computer,Desktop or Laptop,Chromium OS 14695.85.0,Chrome 102.0.5005.75,1536x864,1536x746,Passed_Trials,AliceIntroVideos,9,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,AliceVideoDelayedDiagrammingSS,,,END TASK,,,,,189780,,,,,0,1,0,,,,,,,,,
1,1655118948823,13/06/2022 11:15:48,1655118947338,2,13/06/2022 13:15:47,86110,10,task-5tuu,,22441854,BLIND,6613736,,complete,,,computer,Desktop or Laptop,Chromium OS 14695.85.0,Chrome 102.0.5005.75,1536x864,1536x746,Passed_Trials,AliceIntroVideos,9,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,AliceVideoDelayedDiagrammingSS,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,
2,1655119138567,13/06/2022 11:18:58,1655119137124,2,13/06/2022 13:18:57,86110,10,task-5tuu,,22441854,BLIND,6613736,,complete,,,computer,Desktop or Laptop,Chromium OS 14695.85.0,Chrome 102.0.5005.75,1536x864,1536x746,Passed_Trials,AliceIntroVideos,9,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,AliceVideoDelayedDiagrammingSS,AliceVideoDelayedDiagrammingSS,1,1,1,Video,Zone1,content_video,189425.60000000003,,,,,0,1,0,,,,,,AliceDelayedWithCueSelectionVideo,,,
3,1655119138624,13/06/2022 11:18:58,1655119137129,2,13/06/2022 13:18:57,86110,10,task-5tuu,,22441854,BLIND,6613736,,complete,,,computer,Desktop or Laptop,Chromium OS 14695.85.0,Chrome 102.0.5005.75,1536x864,1536x746,Passed_Trials,AliceIntroVideos,9,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,AliceVideoDelayedDiagrammingSS,,,END TASK,,,,,189791,,,,,0,1,0,,,,,,,,,
1,1655118897222,13/06/2022 11:14:57,1655118895870,2,13/06/2022 13:14:55,86110,10,task-5tuu,,22441824,BLIND,6613723,,complete,,,computer,Desktop or Laptop,Chromium OS 14695.85.0,Chrome 102.0.5005.75,1536x864,1536x746,Passed_Trials,AliceIntroVideos,9,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,AliceVideoDelayedDiagrammingSS,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,
